OBJECTID,MPD_ARREST_NUMBER,MPD_ARREST_DATE,PERSON_TYPE,TOP_CHARGE,MPD_CHARGE_CATEGORY,MPD_CHARGE_DESCRIPTION,CHARGE_CODE,AGE,ARREST_COUNT,RACE,ETHNICITY,SEX,HOME_PSA,ARREST_DISTRICT,ARREST_PSA,HOME_CITY,HOME_STATE,PDID,CCN,LATITUDE,LONGITUDE,DMPSJ_CATEGORY,YEAR,MONTH,IS_MARIJUANA,CREATOR,CREATED,EDITOR,EDITED,GLOBALID
13,67421004258330977726778112361565250797,2016/01/01 05:59:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,24,0,Unknown,Hispanic Or Latino,Male,OUT OF STATE,4D,409,HYATTSVILLE,MD,172181247236211015228059727789205124331,55742404852382152405573229565043194195,38.933,-77.032,Assault on a police officer,2016,1,FALSE,,,,,{188E937E-3DB2-4B49-8A26-7BD6ED8E3AF4}
14,201192564822156910608425300557896969939,2016/01/01 06:07:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),51,0,Black,Unknown,Male,501,5D,501,WASHINGTON,DC,185282747301982404393990182390818497530,328383011286405962651481367645227740720,38.916,-77.01,Assault,2016,1,FALSE,,,,,{58B8B2C0-A0A2-40F9-A036-F900255CD3BB}
15,250590802846891099406896341535751812255,2016/01/01 07:00:00,DEFENDANT IN ARREST,Yes,Sex Abuse,First Degree Sexual Abuse,22DC3002(A)(1),53,12,Black,Not Hispanic Or Latino,Male,303,5D,503,WASHINGTON,DC,18132981662606431715409650336522632319,274461300309274855091836364672877774037,38.926,-76.971,Sex offense,2016,1,FALSE,,,,,{D695FE86-5AE9-4019-91D9-B484BC8FB114}
16,73711445967099054951014415795224418429,2016/01/01 14:18:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,54,8,Black,Unknown,Male,506,5D,506,WASHINGTON,DC,79495928548883602308325318324323484749,186828148988886383011670615130878272816,38.91,-76.985,Drugs,2016,1,FALSE,,,,,{A0A81354-BD6C-497A-9BE1-80289D1B1962}
17,104080851919785798724890092807015169645,2016/01/01 15:02:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,53,23,Black,Not Hispanic Or Latino,Male,507,5D,506,WASHINGTON,DC,210069671823500772003195466364111481150,264196079015240926374655856789427360191,38.903,-76.984,Drugs,2016,1,FALSE,,,,,{89ABD9E0-6A19-49E6-A0EB-8A15BA06D6BC}
18,89532671915457823187610259732481440624,2016/01/01 16:10:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,22,15,Black,Not Hispanic Or Latino,Male,603,3D,305,WASHINGTON,DC,215071106896244602328794493455281409686,206371433087200320723403738757792065122,38.917,-77.022,Drugs,2016,1,FALSE,,,,,{5F3D8B88-9B61-4041-B11E-0784D2E4A66F}
19,190366931266720832737869822486092885245,2016/01/01 16:20:00,DEFENDANT IN ARREST,Yes,Property Crimes,Tampering With Physical Evidence,22DC723,34,2,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,305,MT RAINIER,MD,166728489851770474973104663768259553586,152069348576003495048657718565261711214,38.917,-77.022,Obstruction of justice,2016,1,FALSE,,,,,{AA39A6B8-9959-4546-A5F2-E7059947FE38}
20,190366931266720832737869822486092885245,2016/01/01 16:20:00,DEFENDANT IN ARREST,nan,Other Crimes,Obstructing Justice,22DC722,34,2,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,305,MT RAINIER,MD,166728489851770474973104663768259553586,152069348576003495048657718565261711214,38.917,-77.022,Obstruction of justice,2016,1,FALSE,,,,,{7B12E45C-D907-4669-ADB4-1A6819AF10AA}
21,324044690166979967898126810537233907220,2016/01/01 16:30:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,21,8,Black,Unknown,Male,306,3D,306,WASHINGTON,DC,77320499839702258333213463177661805431,308611425740393637161466472014392188530,38.916,-77.022,Weapons,2016,1,FALSE,,,,,{088F4779-50A1-4396-8861-424FD17F73D8}
22,289004920860609261117689297415604336075,2016/01/01 17:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,22,10,Black,Not Hispanic Or Latino,Male,OUT OF STATE,6D,602,ALEXANDRIA,VA,174023231563340530383226980218093145924,64440167203531818561594734677027280630,38.896,-76.948,Failure to appear,2016,1,FALSE,,,,,{AF9D2D26-5ACA-4384-BF1C-BDE0273B3B87}
23,272061637159226409364044642802105537737,2016/01/01 18:40:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carry Pistol Outside Home/business,22DC4504A1-Y-1,28,1,Black,Not Hispanic Or Latino,Female,707,3D,304,WASHINGTON,DC,99858174660870236980795501695914720029,177098404299046793058439676935869390365,38.921,-77.026,Weapons,2016,1,FALSE,,,,,{0E31864E-0EC3-4490-9D35-05599BB2CB35}
24,272061637159226409364044642802105537737,2016/01/01 18:40:00,DEFENDANT IN ARREST,nan,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,28,1,Black,Not Hispanic Or Latino,Female,707,3D,304,WASHINGTON,DC,99858174660870236980795501695914720029,177098404299046793058439676935869390365,38.921,-77.026,Weapons,2016,1,FALSE,,,,,{91C7C56F-DBC0-4178-B3A6-3CBCE4FBBD45}
25,20427358441144635191811181521093442260,2016/01/01 18:54:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,40,6,Black,Not Hispanic Or Latino,Male,Unknown,2D,202,WASHINGTON,DC,239633304184802551303401303617709217525,172980563341113489196926701952289439083,38.945,-77.078,Weapons,2016,1,FALSE,,,,,{6EFEE280-B09A-4D2A-BAC3-BB7B240A9C57}
26,115258112122856303090063115353742191579,2016/01/01 19:15:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,21,7,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,177895055079210084948223489699094409116,88028635897561324867889767101140947304,38.892,-76.927,Drugs,2016,1,FALSE,,,,,{A8722AEF-81DC-4E5E-A533-2FD30B322BD4}
27,124979846183072413142052562135946422944,2016/01/01 19:35:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),19,5,Black,Not Hispanic Or Latino,Male,708,7D,702,WASHINGTON,DC,87929294994346883651875754526321818114,310026945371296866140690818926611122873,38.856,-76.972,Assault,2016,1,FALSE,,,,,{72AD5ED3-EDFC-46BA-A4BF-4129BBA282B4}
28,183197166541274875435937148642151445568,2016/01/01 20:19:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32,Black,Unknown,Male,Unknown,5D,501,nan,nan,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.004,Failure to appear,2016,1,FALSE,,,,,{17977151-7DEC-476A-8974-6B5AED1BF4F8}
29,183197166541274875435937148642151445568,2016/01/01 20:19:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32,Black,Unknown,Male,Unknown,5D,501,nan,nan,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.004,Failure to appear,2016,1,FALSE,,,,,{30EDBF62-6215-43B1-A7B2-08B9B1008905}
30,183197166541274875435937148642151445568,2016/01/01 20:19:00,DEFENDANT IN ARREST,nan,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32,Black,Unknown,Male,Unknown,5D,501,nan,nan,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.004,Failure to appear,2016,1,FALSE,,,,,{C0DA1416-5496-410D-A136-31DDD0CD66B2}
31,77727958071872639933928997940079814596,2016/01/01 20:30:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,36,11,Black,Not Hispanic Or Latino,Male,602,6D,604,WASHINGTON,DC,189887528091987196025959562827069568459,164337989936834444246503099622779784300,38.882,-76.93,Failure to appear,2016,1,FALSE,,,,,{D0225924-D450-43AD-A1C1-9CFAEF343ECC}
32,43736291596574981635954135268045479239,2016/01/01 20:50:00,DEFENDANT IN ARREST,Yes,Other Crimes,Accessory After The Fact,22DC1806,42,0,Black,Not Hispanic Or Latino,Female,OUT OF STATE,4D,406,DISTRICT HEIGHTS,MD,97404983299973764926526058682176060789,90152424537284747342169556750851511611,38.958,-77.002,Other,2016,1,FALSE,,,,,{039E602D-7A23-4588-9FFC-F9FF2B0A7BF9}
33,167650375624952634813462341496932331219,2016/01/01 22:12:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,4,Black,Unknown,Male,407,7D,702,WASHINGTON,DC,21577675562095139951885027312455702196,124582316642024995551775565573469506433,38.853,-76.965,Failure to appear,2016,1,FALSE,,,,,{A3AF568D-660A-403B-83EA-F99FFC2F38B7}
34,246142465227198812111867957815171634288,2016/01/01 23:00:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,20,6,Black,Not Hispanic Or Latino,Male,304,3D,304,WASHINGTON,DC,257529062441700983131215602690229689334,760705141642058639293226388806657965,38.925,-77.032,Weapons,2016,1,FALSE,,,,,{36BD0E1D-D837-42C5-9B8C-0AF05D53B346}
35,246142465227198812111867957815171634288,2016/01/01 23:00:00,DEFENDANT IN ARREST,nan,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,20,6,Black,Not Hispanic Or Latino,Male,304,3D,304,WASHINGTON,DC,257529062441700983131215602690229689334,760705141642058639293226388806657965,38.925,-77.032,Weapons,2016,1,FALSE,,,,,{127B45C5-D41C-4D9B-91AF-FA7F8DF656C6}
36,327855553564084499872852572324516088927,2016/01/01 23:27:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),48,18,Black,Unknown,Male,OUT OF STATE,1D,104,CAPITAL HEIGHTS,MD,87504912345779934362988513392057912545,239445180985031114229291194714616280837,38.9,-76.987,Assault,2016,1,FALSE,,,,,{D9B3DBA7-3D14-42E5-80AA-EB1183269FBF}
37,327855553564084499872852572324516088927,2016/01/01 23:27:00,DEFENDANT IN ARREST,nan,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,48,18,Black,Unknown,Male,OUT OF STATE,1D,104,CAPITAL HEIGHTS,MD,87504912345779934362988513392057912545,239445180985031114229291194714616280837,38.9,-76.987,Assault,2016,1,FALSE,,,,,{17283EDA-7BEF-4F60-A212-956378814BC1}
38,237239891179321194995221160896362414922,2016/01/02 00:01:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,0,White,Not Hispanic Or Latino,Male,Unknown,4D,401,nan,nan,107127412571095666966445653385864695217,47592506577517094290041209545004424813,38.977,-77.025,Failure to appear,2016,1,FALSE,,,,,{B523E2ED-710A-4000-AF4E-129855B8CA84}
39,157840390050440873136677986304291737582,2016/01/02 01:24:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),51,5,Black,Not Hispanic Or Latino,Male,505,5D,505,WASHINGTON,DC,2725926121819678775994874366695559505,185406570766624715023599900107709453706,38.921,-76.979,Assault,2016,1,FALSE,,,,,{F24DA9C1-1676-459B-8F16-1AD3A3E64A08}
40,296822020383990559215066650401137800951,2016/01/02 03:15:00,DEFENDANT IN ARREST,Yes,Other Crimes,Bribery,22DC712,22,0,White,Hispanic Or Latino,Male,OUT OF STATE,2D,207,WOODBRIDGE,VA,34039826868503301695659236926003741336,130424636950766670458296043104255970340,38.902,-77.033,Other,2016,1,FALSE,,,,,{B59EFCF3-E3F1-4CD6-846D-699927BF4A49}
41,190989156160098631946460862626255059128,2016/01/02 03:19:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threat/resist/intimidate/intentionally Interfere Government Employee,36RUSC2.32A1,34,6,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,303,OXON HILL,MD,288192081702031066603545622973797691422,161925495665786599888886068469695387274,38.921,-77.041,Assault,2016,1,FALSE,,,,,{1905F1BA-C0E1-400E-8F08-E0F8BE0B0C81}
42,42350554032081619457862635968821479383,2016/01/02 10:56:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,23,6,Black,Not Hispanic Or Latino,Male,708,7D,708,WASHINGTON,DC,211386287261440731475790648240846357056,277870459367097957129257544046140346817,38.824,-77.001,Failure to appear,2016,1,FALSE,,,,,{95F4C61F-21BE-490E-917D-B2FC1BAD1847}
43,266010196459366622600926458603497221286,2016/01/02 11:45:00,DEFENDANT IN ARREST,Yes,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,43,0,Black,Not Hispanic Or Latino,Male,604,5D,501,WASHINGTON,DC,95255930786861438874547758433283483665,90648214556559801458150736434115781221,38.916,-77.009,Vehicle,2016,1,FALSE,,,,,{D0D1B219-4437-4A4E-8FDF-7F8F48DE32C0}
44,259325632418315410311725701316718619343,2016/01/02 14:25:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,26,20,Black,Not Hispanic Or Latino,Male,403,1D,102,WASHINGTON,DC,231441226703401745410978381091951166523,185804542596307044602995884946906215485,38.895,-77.014,Drugs,2016,1,FALSE,,,,,{59AAD952-EEF9-48AA-8227-75CFDAEB2292}
45,43317288367115818116757419147868456248,2016/01/02 14:40:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,53,13,Black,Not Hispanic Or Latino,Male,706,1D,102,WASHINGTON,DC,268916538105819719069386093326176608167,171291418132199467065476260578789663835,38.902,-77.02,Drugs,2016,1,FALSE,,,,,{6B5E8F39-B88A-47B9-B872-844D50D1F9CB}
46,34854539465877235406781021580975809207,2016/01/02 15:25:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),33,0,White,Hispanic Or Latino,Male,302,4D,402,WASHINGTON,DC,98575234665714762223701021853625563209,299754998044979175329059611836716975568,38.963,-77.027,Assault,2016,1,FALSE,,,,,{6F84C4CA-2EC1-453F-9257-20C8150F8D52}
47,42233317016336006654664840238542767731,2016/01/02 16:30:00,DEFENDANT IN ARREST,Yes,Theft,Theft First Degree (shoplifting),"22DC3211,3212A",25,7,Black,Unknown,Male,OUT OF STATE,6D,605,DISTRICT HEIGHTS,MD,18127745975281601368013208965112520619,276470087385781311113857135820887074412,38.866,-76.95,Theft,2016,1,FALSE,,,,,{27B1307E-D2B6-40C1-ACE6-51216398C4F9}
48,40398634850391105670595273796203141368,2016/01/02 16:40:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,23,7,White,Hispanic Or Latino,Male,506,5D,505,WASHINGTON,DC,16367530362194208599450585707738918828,43324362450485983898992006457652535670,38.919,-76.989,Weapons,2016,1,FALSE,,,,,{2B3A493B-3298-4753-8B41-473DF1A6A720}
49,259002513663553879016310412823085918976,2016/01/02 17:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,51,9,Black,Unknown,Male,703,3D,306,WASHINGTON,DC,232771568225444970932869874823292521714,201627902929987218783511647166723722338,38.915,-77.02,Drugs,2016,1,FALSE,,,,,{24CC2237-C2EB-4FE4-814B-F49562EDEBF7}
50,198615586805868404714221082502086263174,2016/01/02 17:00:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),31,1,Black,Unknown,Male,303,2D,206,VIENNA,VA,40820203669617230937658829721511184997,179348445374856106753647608232703329564,38.905,-77.065,Assault,2016,1,FALSE,,,,,{92B4E512-911F-45B3-87B8-0F11973D0DF2}
51,189030045196506579423083876286821972605,2016/01/02 17:32:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,51,9,Black,Not Hispanic Or Latino,Male,104,1D,101,WASHINGTON,DC,254607465121375675813677289960776386400,220567303373964944557203079685578581910,38.902,-77.03,Drugs,2016,1,FALSE,,,,,{D638FB47-EA71-45DE-B5AB-09B0EA579B9D}
52,325185191558955604846644098319107339196,2016/01/02 19:30:00,DEFENDANT IN ARREST,Yes,Robbery,Assault W/i To Commit Robbery (simple Assault),22DC401-X,49,17,Black,Not Hispanic Or Latino,Male,703,1D,101,WASHINGTON,DC,338740265194810754684271771049321923517,62937604116851546333414343467200208767,38.898,-77.025,Assault,2016,1,FALSE,,,,,{523E933B-23B7-4A46-9384-61D6C6C5553F}
53,332336188756206916812782375172937239273,2016/01/02 19:45:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,54,8,Black,Not Hispanic Or Latino,Male,Unknown,6D,608,WASHINGTON,DC,320316118054916622166107302998412987171,165865986381760564241898426240517771510,38.894,-76.919,Failure to appear,2016,1,FALSE,,,,,{0601BB56-F9D9-4F78-8502-F5AEFB3B7874}
54,303401113778366945796839859708506653961,2016/01/02 20:40:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),56,1,Black,Unknown,Male,502,5D,502,WASHINGTON,DC,124212278653685158810962477076414904545,65316676911006901377709395124942355615,38.915,-77.008,Assault,2016,1,FALSE,,,,,{275ED8A9-C67E-4C4D-8B0E-98CC27B6018A}
55,186125138494383513336041003440285789239,2016/01/02 21:30:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,30,1,White,Not Hispanic Or Latino,Male,OUT OF STATE,1D,103,STERLING,VA,12635287170744057081563181938445215665,292279446434222870327578545402799389913,38.901,-77.009,Drugs,2016,1,FALSE,,,,,{1631663A-3A66-4EC4-B598-5BFFAC1476A8}
56,259777058892116743119125470857237124202,2016/01/02 22:50:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,37,1,Black,Not Hispanic Or Latino,Female,708,Unknown,Unknown,WASHINGTON,DC,233858435404897709598301910484492923626,254511294983958392440956739379816954760,,,Drugs,2016,1,FALSE,,,,,{18317943-D466-420C-87AC-C9D31A0D51E4}
57,259777058892116743119125470857237124202,2016/01/02 22:50:00,DEFENDANT IN ARREST,nan,Damage to Property,Destruction Of Property $1000 Or More,22DC303F,37,1,Black,Not Hispanic Or Latino,Female,708,Unknown,Unknown,WASHINGTON,DC,233858435404897709598301910484492923626,254511294983958392440956739379816954760,,,Property,2016,1,FALSE,,,,,{6CB45512-2E2E-4C01-9B25-B985BFC2771E}
58,227072260591474324089442060806825007450,2016/01/03 04:20:00,DEFENDANT IN ARREST,Yes,Aggravated Assault,Aggravated Assault,22DUSC00404.01,27,2,Black,Not Hispanic Or Latino,Male,701,7D,701,WASHINGTON,DC,167332250692370072595704756630075993203,186510088060261542264030101160292905049,38.865,-76.983,Assault,2016,1,FALSE,,,,,{16FC71E0-1004-4B17-BB58-ACAC7D1FD385}
59,89104769684846412500562808274205594146,2016/01/03 04:20:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),38,0,Black,Unknown,Female,601,6D,601,WASHINGTON,DC,215179388400180653871171255198476683782,138075147746230725402390350557589349879,38.905,-76.951,Assault,2016,1,FALSE,,,,,{F542FED5-2F6A-4CFD-8189-4C7F3BE35C2D}
60,190711881367762073655608569060352397807,2016/01/03 04:45:00,DEFENDANT IN ARREST,Yes,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,31,9,Black,Not Hispanic Or Latino,Male,108,5D,506,UPPER MARLBORO,MD,183265142470425374774590007158369515778,180323165832810546637065711496997077073,38.908,-76.988,Vehicle,2016,1,FALSE,,,,,{6181E7BF-C001-4414-91E8-B778E1B009B9}
61,89729449947861935969725913449621191105,2016/01/03 06:34:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),23,2,Black,Not Hispanic Or Latino,Male,Unknown,Unknown,Unknown,WASHINGTON,DC,161696956782237524857140670367999554519,278648412805939152840915508660314156751,38.918,-77.042,Assault,2016,1,FALSE,,,,,{14B50F9D-22C3-4B2F-A33E-BF9D68C67943}
62,48404429403177389866857340695334533561,2016/01/03 08:30:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,29,2,Black,Not Hispanic Or Latino,Male,404,4D,404,WASHINGTON,DC,288313908735140926649885813304922920548,275193154211385922865788262272066315753,38.946,-77.03,Assault,2016,1,FALSE,,,,,{2E0A1A2A-41DC-470A-B993-3748747EDF2C}
63,274857712518422552077120264497182236064,2016/01/03 09:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,36,15,Black,Not Hispanic Or Latino,Male,706,1D,106,WASHINGTON,DC,323670638613292534402179416038202898725,108773913464109676557823208652200452176,38.876,-77,Failure to appear,2016,1,FALSE,,,,,{2A77765B-E650-4B2E-BDA2-19578C03D0D7}
64,145269203840711678115834099795785232597,2016/01/03 16:00:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,FALSE,,,,,{93708AE3-92DE-4A84-82BE-F27972B2D900}
